survey_id,encounter_id,response_date,overall_satisfaction,communication_with_nurses,communication_with_doctors,cleanliness_score,would_recommend
SRV-459763,ENC-10360,2024-01-05,9.3,9.5,10.0,9.1,Yes
SRV-784760,ENC-13203,2024-02-15,8.0,7.7,8.4,6.7,Yes
SRV-516338,ENC-11640,2024-03-07,6.7,5.8,5.3,10.0,Yes
SRV-398081,ENC-14629,2024-08-08,6.5,5.5,8.3,6.1,Yes
SRV-675866,ENC-12429,2024-09-08,10.0,9.7,10.0,10.0,Yes
SRV-927970,ENC-12689,2024-01-07,10.0,9.3,10.0,10.0,Yes
SRV-506047,ENC-14865,2024-05-26,7.5,7.0,9.9,7.9,Yes
SRV-236022,ENC-12069,2024-01-30,5.4,6.9,6.0,2.3,Yes
SRV-328294,ENC-12319,2024-08-06,8.1,9.2,8.3,9.7,Yes
SRV-766455,ENC-12052,2024-03-13,10.0,8.4,10.0,9.8,Yes
SRV-906602,ENC-12866,2024-12-29,7.2,6.9,7.5,8.6,Yes
SRV-187355,ENC-13744,2024-09-16,9.4,8.9,8.6,10.0,Yes
SRV-173827,ENC-13719,2024-08-17,1.3,1.0,3.1,2.4,No
SRV-589306,ENC-10671,2024-11-21,6.3,6.5,5.5,5.5,No
SRV-403830,ENC-14547,2024-02-18,10.0,8.9,9.2,9.4,Yes
SRV-344192,ENC-11096,2024-05-18,9.4,10.0,9.8,9.1,Yes
SRV-714542,ENC-14174,2024-11-03,6.9,7.0,6.0,6.8,Yes
SRV-439607,ENC-11644,2024-02-13,9.0,8.0,9.4,9.6,No
SRV-760957,ENC-10357,2024-11-27,4.3,4.8,4.7,4.2,Yes
SRV-636837,ENC-12507,2024-12-13,6.1,7.2,6.7,5.4,No
SRV-560593,ENC-11812,2024-07-17,8.9,9.3,10.0,10.0,No
SRV-736873,ENC-13460,2024-03-31,4.1,5.0,3.5,4.7,Yes
SRV-303165,ENC-14116,2024-10-28,8.0,8.4,8.1,9.7,Yes
SRV-667497,ENC-10157,2024-01-25,1.3,1.0,1.3,3.8,No
SRV-197872,ENC-14978,2024-03-16,7.7,6.4,7.2,9.5,Yes
SRV-524913,ENC-12067,2024-08-04,8.2,8.1,9.0,5.3,No
SRV-699496,ENC-13688,2024-06-10,6.6,6.9,7.3,5.2,Yes
SRV-320868,ENC-13080,2024-04-15,7.7,6.7,8.7,6.9,Yes
SRV-844260,ENC-12117,2024-05-30,4.4,4.0,6.0,1.0,No
SRV-114456,ENC-12769,2024-09-30,8.0,7.6,7.2,10.0,No
SRV-689177,ENC-13504,2024-11-13,3.4,2.7,3.3,5.0,No
SRV-327471,ENC-14405,2024-11-21,10.0,8.5,10.0,8.2,Yes
SRV-856195,ENC-14734,2024-06-26,10.0,10.0,10.0,10.0,Yes
SRV-911997,ENC-13780,2024-02-26,6.5,5.4,5.1,6.0,No
SRV-969515,ENC-10473,2024-04-01,8.9,9.2,8.3,8.1,No
SRV-602021,ENC-11546,2024-06-24,2.9,1.6,3.8,1.0,No
SRV-756218,ENC-11826,2024-07-10,7.3,6.7,8.4,9.9,Yes
SRV-896354,ENC-14754,2024-08-01,1.0,1.0,1.4,1.0,No
SRV-641799,ENC-10645,2024-11-12,5.8,5.3,8.2,5.2,Yes
SRV-486773,ENC-14785,2024-04-02,8.5,8.2,8.5,8.4,No
SRV-489309,ENC-12555,2024-04-03,7.5,7.6,8.5,9.3,No
SRV-566812,ENC-12183,2024-12-27,7.7,6.1,8.5,6.3,Yes
SRV-550858,ENC-12412,2024-11-03,8.1,6.6,7.5,9.6,No
SRV-754150,ENC-11958,2024-06-20,8.0,8.8,7.7,6.3,Yes
SRV-187301,ENC-14294,2024-06-29,5.7,7.7,7.0,4.1,Yes
SRV-222290,ENC-12070,2024-10-15,6.4,7.8,6.5,4.0,Yes
SRV-623748,ENC-12525,2024-04-01,6.2,5.3,7.8,6.5,Yes
SRV-941578,ENC-14101,2024-12-09,6.4,6.7,8.2,4.8,Yes
SRV-305851,ENC-10360,2024-11-09,8.4,8.2,10.0,9.3,No
SRV-301874,ENC-11312,2024-06-22,6.6,6.4,7.3,5.9,Yes
SRV-261014,ENC-13650,2024-01-29,5.0,2.0,6.3,7.3,No
SRV-437560,ENC-11778,2024-09-15,7.6,8.2,7.3,8.2,Yes
SRV-711914,ENC-95062,2024-06-11,7.4,8.2,9.1,6.2,No
SRV-482512,ENC-10373,2024-12-12,8.6,7.8,8.8,5.4,Yes
SRV-427042,ENC-10125,2024-10-15,6.8,5.8,7.7,6.8,Yes
SRV-853337,ENC-14368,2024-05-01,4.7,5.6,5.6,6.3,Yes
SRV-574198,ENC-11196,2024-06-03,10.0,10.0,9.7,10.0,Yes
SRV-852236,ENC-10517,2024-11-26,6.1,5.0,5.1,6.3,No
SRV-385747,ENC-11666,2024-06-18,7.1,7.2,9.2,7.6,Yes
SRV-232201,ENC-11070,2024-02-12,7.5,6.1,9.1,4.8,Yes
SRV-122211,ENC-10619,2024-06-06,10.0,8.3,10.0,10.0,Yes
SRV-262236,ENC-14024,2024-03-14,8.0,7.9,10.0,10.0,Yes
SRV-782934,ENC-12435,2024-05-16,10.0,8.8,10.0,9.0,Yes
SRV-738324,ENC-92689,2024-09-14,5.6,5.4,7.1,4.7,No
SRV-926929,ENC-12964,2024-05-09,3.6,3.7,4.2,5.3,No
SRV-356940,ENC-13756,2024-05-26,10.0,9.2,10.0,8.2,Yes
SRV-311889,ENC-14294,2024-04-23,4.4,4.5,5.6,3.4,No
SRV-577221,ENC-12428,2024-07-23,3.5,4.2,3.1,3.0,No
SRV-250298,ENC-12022,2024-08-26,10.0,10.0,9.4,10.0,Yes
SRV-162618,ENC-14496,2024-03-04,8.1,7.0,9.3,6.7,Yes
SRV-909345,ENC-12194,2024-07-01,8.1,8.3,6.8,7.0,Yes
SRV-918369,ENC-10867,2024-03-28,5.4,7.2,5.8,3.9,Yes
SRV-520013,ENC-11500,2024-07-23,6.3,6.3,7.6,7.2,No
SRV-887085,ENC-11364,2024-10-03,8.3,6.4,9.4,10.0,No
SRV-324829,ENC-14136,2024-05-04,8.2,6.9,9.5,10.0,Yes
SRV-558158,ENC-13058,2024-02-27,6.2,6.4,6.7,5.8,No
SRV-469195,ENC-10483,2024-12-15,10.0,10.0,10.0,10.0,Yes
SRV-491972,ENC-10629,2024-03-16,8.2,8.4,8.5,10.0,Yes
SRV-143509,ENC-99103,2024-07-04,7.3,6.9,7.7,7.0,Yes
SRV-123370,ENC-12957,2024-08-18,9.1,8.1,9.0,9.5,Yes
SRV-779972,ENC-12280,2024-06-07,7.9,7.4,8.4,8.7,Yes
SRV-193371,ENC-14306,2024-01-19,5.6,6.3,6.6,6.0,Yes
SRV-180651,ENC-13379,2024-07-15,5.4,6.4,5.3,3.6,Yes
SRV-973226,ENC-10185,2024-09-03,4.9,4.9,5.8,4.3,Yes
SRV-663913,ENC-10035,2024-11-18,4.9,4.0,6.2,5.8,Yes
SRV-198910,ENC-10403,2024-11-28,10.0,9.8,8.2,10.0,Yes
SRV-571582,ENC-11172,2024-12-16,7.1,7.4,8.2,6.1,Yes
SRV-704538,ENC-12246,2024-07-11,7.3,6.6,8.3,2.0,No
SRV-475576,ENC-13827,2024-07-21,8.3,8.9,8.0,8.4,Yes
SRV-867844,ENC-14299,2024-11-21,3.9,4.5,5.8,6.1,No
SRV-688251,ENC-13583,2024-08-24,9.9,7.6,10.0,6.4,Yes
SRV-568579,ENC-12469,2024-01-16,10.0,9.7,10.0,10.0,Yes
SRV-663267,ENC-10711,2024-09-06,5.4,4.5,5.8,4.4,Yes
SRV-585191,ENC-97366,2024-10-31,3.9,4.2,4.5,6.2,Yes
SRV-824517,ENC-11965,2024-11-13,8.1,9.1,9.8,5.4,No
SRV-267874,ENC-11888,2024-07-09,1.8,3.3,1.8,1.0,Yes
SRV-530284,ENC-13215,2024-09-26,6.1,6.1,6.7,8.5,No
SRV-256886,ENC-14637,2024-12-22,8.2,8.4,7.9,7.2,Yes
SRV-850933,ENC-14368,2024-03-20,5.4,5.8,4.9,5.0,No
SRV-283961,ENC-11302,2024-11-20,5.0,2.7,6.0,5.3,Yes
SRV-658121,ENC-14376,2024-01-27,7.8,9.3,10.0,7.1,Yes
SRV-774765,ENC-14701,2024-03-07,8.7,8.3,10.0,9.8,Yes
SRV-237626,ENC-11484,2024-05-14,4.6,5.8,5.0,6.4,No
SRV-911936,ENC-12597,2024-08-08,6.4,7.1,6.9,5.0,Yes
SRV-761916,ENC-14613,2024-12-09,7.6,5.6,6.3,8.8,Yes
SRV-894244,ENC-11920,2024-12-19,5.7,2.7,4.5,4.6,No
SRV-537419,ENC-13937,2024-06-05,8.9,9.6,10.0,9.1,Yes
SRV-839827,ENC-13694,2024-11-01,8.8,8.4,8.3,7.4,No
SRV-175619,ENC-11577,2024-02-08,2.9,3.9,3.6,3.0,Yes
SRV-933390,ENC-14389,2024-04-08,10.0,10.0,10.0,10.0,Yes
SRV-314561,ENC-13103,2024-06-20,9.7,9.1,10.0,6.6,Yes
SRV-926066,ENC-12757,2024-01-25,8.3,8.2,8.9,9.7,Yes
SRV-986748,ENC-11051,2024-06-05,8.2,9.3,9.2,5.6,Yes
SRV-436068,ENC-12553,2024-03-28,4.9,5.7,7.0,6.5,Yes
SRV-270381,ENC-10216,2024-02-21,8.6,7.2,9.8,10.0,No
SRV-651879,ENC-10473,2024-09-15,8.2,7.8,9.7,6.5,No
SRV-560886,ENC-11899,2024-12-22,8.3,8.4,9.3,5.3,Yes
SRV-966501,ENC-13399,2024-01-23,4.2,5.8,4.3,1.9,No
SRV-306743,ENC-11481,2024-03-17,9.8,8.8,9.7,7.1,Yes
SRV-432196,ENC-10111,2024-02-19,10.0,9.3,9.9,10.0,Yes
SRV-556133,ENC-11617,2024-09-04,1.7,2.1,2.9,3.5,No
SRV-852351,ENC-12857,2024-07-03,5.5,7.0,4.6,4.3,No
SRV-982162,ENC-11989,2024-04-27,3.8,1.9,4.5,1.1,No
SRV-456052,ENC-13905,2024-08-24,5.1,4.5,5.8,5.5,No
SRV-246169,ENC-11983,2024-10-29,8.1,7.3,8.5,8.9,Yes
SRV-232162,ENC-12547,2024-06-14,9.2,8.9,10.0,9.4,No
SRV-640262,ENC-11205,2024-11-05,6.7,8.2,6.6,8.7,No
SRV-869422,ENC-11540,2024-01-22,7.4,8.0,8.8,7.2,Yes
SRV-142176,ENC-12013,2024-06-23,7.1,5.0,9.1,6.2,No
SRV-972944,ENC-12710,2024-05-02,9.2,10.0,10.0,10.0,No
SRV-905424,ENC-14096,2024-12-12,7.2,6.4,7.2,4.5,Yes
SRV-947727,ENC-10065,2024-08-27,10.0,10.0,9.8,10.0,Yes
SRV-262932,ENC-14857,2024-07-12,7.8,6.5,6.4,6.9,No
SRV-179517,ENC-10617,2024-06-19,7.2,8.4,7.3,8.6,Yes
SRV-819404,ENC-12275,2024-09-11,10.0,7.9,9.4,9.2,Yes
SRV-309577,ENC-12929,2024-03-14,7.1,8.9,8.4,6.2,Yes
SRV-378355,ENC-10790,2024-01-03,5.4,4.6,5.2,5.2,No
SRV-335569,ENC-14197,2024-04-18,9.2,8.6,9.8,8.6,No
SRV-286228,ENC-10858,2024-07-01,6.1,8.2,5.2,9.5,Yes
SRV-957707,ENC-12000,2024-01-08,9.4,9.0,9.3,7.6,Yes
SRV-423297,ENC-10030,2024-02-03,6.1,4.6,6.0,6.3,Yes
SRV-362386,ENC-14840,2024-10-30,3.7,4.0,3.0,2.1,No
SRV-597773,ENC-10468,2024-08-01,8.3,6.4,10.0,6.2,Yes
SRV-710018,ENC-14882,2024-05-31,7.7,7.6,8.9,7.0,Yes
SRV-437154,ENC-13681,2024-01-10,9.1,9.2,10.0,8.1,Yes
SRV-276286,ENC-12984,2024-04-28,8.4,9.2,9.5,3.0,No
SRV-331839,ENC-14099,2024-11-18,7.1,7.1,8.6,6.4,Yes
SRV-110971,ENC-12603,2024-09-15,10.0,9.6,10.0,9.4,Yes
SRV-470937,ENC-11654,2024-07-22,7.3,7.6,9.1,6.6,Yes
SRV-604970,ENC-10787,2024-10-18,9.7,9.7,10.0,10.0,No
SRV-593981,ENC-11831,2024-05-18,8.1,8.3,8.2,8.0,Yes
SRV-965472,ENC-11377,2024-08-05,6.2,6.5,6.2,4.1,Yes
SRV-559546,ENC-13977,2024-11-26,10.0,9.9,10.0,10.0,Yes
SRV-187922,ENC-10368,2024-05-05,3.2,3.7,3.0,5.3,No
SRV-201559,ENC-12423,2024-01-02,7.1,6.6,6.8,5.5,Yes
SRV-504384,ENC-12291,2024-04-10,10.0,10.0,10.0,10.0,Yes
SRV-198433,ENC-12564,2024-07-23,9.3,9.8,9.9,10.0,Yes
SRV-681749,ENC-10778,2024-08-13,5.8,7.1,5.6,4.5,Yes
SRV-740593,ENC-13675,2024-02-06,5.3,5.5,5.3,5.3,Yes
SRV-412822,ENC-12203,2024-03-24,8.9,7.8,7.8,7.0,No
SRV-861318,ENC-14857,2024-02-24,8.6,9.1,10.0,8.6,Yes
SRV-695474,ENC-13442,2024-11-11,9.6,9.8,9.1,8.8,No
SRV-395134,ENC-14502,2024-03-12,9.3,8.5,9.2,9.5,No
SRV-483300,ENC-13850,2024-12-19,7.0,8.7,9.8,9.2,Yes
SRV-987522,ENC-11311,2024-11-06,2.7,3.5,4.6,2.3,No
SRV-635157,ENC-10161,2024-06-02,5.1,4.8,6.0,8.2,Yes
SRV-311319,ENC-12980,2024-01-10,8.3,7.7,8.7,9.8,Yes
SRV-746089,ENC-10571,2024-12-15,7.3,8.3,8.4,5.8,Yes
SRV-976542,ENC-12499,2024-07-14,3.2,2.6,2.9,2.3,No
SRV-477891,ENC-11399,2024-10-23,10.0,9.6,10.0,8.9,Yes
SRV-758554,ENC-12389,2024-12-26,8.1,8.2,7.4,7.3,Yes
SRV-641508,ENC-13334,2024-06-28,4.4,4.5,5.4,4.7,Yes
SRV-955145,ENC-13849,2024-03-15,7.4,7.1,8.5,5.6,Yes
SRV-320994,ENC-13555,2024-03-10,5.8,5.8,6.6,5.2,No
SRV-885122,ENC-12367,2024-04-14,3.0,2.1,2.8,1.4,No
SRV-405516,ENC-14181,2024-02-10,4.7,3.5,4.4,6.1,No
SRV-570061,ENC-13016,2024-03-25,8.7,9.5,9.6,6.9,No
SRV-867125,ENC-93215,2024-06-04,5.2,4.8,4.4,4.2,No
SRV-620651,ENC-13604,2024-11-20,8.8,9.1,8.9,5.0,Yes
SRV-970265,ENC-13389,2024-10-09,7.0,6.8,7.2,7.1,Yes
SRV-819540,ENC-93367,2024-10-01,6.8,5.5,5.7,4.2,No
SRV-322282,ENC-10056,2024-06-26,7.3,6.9,8.7,8.2,Yes
SRV-456308,ENC-12454,2024-07-08,4.3,5.2,5.6,5.1,No
SRV-490800,ENC-12016,2024-03-19,7.2,5.9,7.7,9.2,No
SRV-639987,ENC-12851,2024-04-11,9.3,8.8,9.0,10.0,Yes
SRV-439053,ENC-11349,2024-10-21,9.4,9.7,9.8,7.8,Yes
SRV-781000,ENC-14618,2024-06-18,7.4,8.5,9.4,10.0,Yes
SRV-789998,ENC-10841,2024-11-03,4.4,4.7,5.5,8.3,No
SRV-517184,ENC-95706,2024-04-19,4.2,4.1,5.9,4.5,No
SRV-658350,ENC-10944,2024-07-16,6.2,6.0,6.4,8.7,Yes
SRV-903875,ENC-13906,2024-12-14,7.2,7.4,7.7,8.1,No
SRV-257314,ENC-13270,2024-04-17,6.1,4.9,5.5,4.9,Yes
SRV-554148,ENC-11711,2024-09-22,9.2,9.6,9.8,10.0,Yes
SRV-627220,ENC-11068,2024-03-17,7.9,7.7,7.9,9.6,Yes
SRV-731113,ENC-10770,2024-06-10,8.5,10.0,10.0,8.4,No
SRV-216808,ENC-10101,2024-04-11,8.2,9.3,8.1,10.0,No
SRV-192819,ENC-97776,2024-08-25,3.9,3.3,3.9,5.4,No
SRV-116133,ENC-10810,2024-04-17,6.5,6.4,8.1,7.5,Yes
SRV-219482,ENC-14440,2024-03-23,7.0,9.6,7.4,9.3,No
SRV-519388,ENC-90537,2024-09-27,9.3,7.5,9.7,10.0,Yes
SRV-681322,ENC-13389,2024-10-27,10.0,10.0,8.6,10.0,Yes
SRV-107810,ENC-13568,2024-12-29,6.1,5.0,7.3,3.2,No
SRV-944312,ENC-11596,2024-05-05,7.2,7.3,5.4,4.3,Yes
SRV-776695,ENC-12059,2024-08-16,10.0,9.7,10.0,5.1,Yes
SRV-705138,ENC-11221,2024-08-06,6.8,5.8,7.3,10.0,No
SRV-939934,ENC-10933,2024-03-28,6.6,5.0,5.4,8.5,Yes
SRV-385576,ENC-10239,2024-10-07,7.9,9.9,9.2,8.9,Yes
SRV-881655,ENC-11063,2024-05-30,9.4,8.9,10.0,7.1,Yes
SRV-675380,ENC-11144,2024-09-15,7.0,8.2,7.0,7.5,Yes
SRV-626647,ENC-12627,2024-12-06,6.9,6.3,8.1,5.6,Yes
SRV-611449,ENC-11999,2024-06-28,8.2,9.8,7.9,7.9,No
SRV-772070,ENC-11819,2024-11-24,8.9,8.7,10.0,9.1,Yes
SRV-604358,ENC-14409,2024-05-26,3.7,3.5,5.6,1.0,No
SRV-634260,ENC-11278,2024-03-22,4.1,4.9,5.1,9.9,Yes
SRV-722722,ENC-10329,2024-07-08,6.0,4.1,4.8,5.0,Yes
SRV-877172,ENC-10421,2024-01-24,6.3,5.5,7.3,9.7,No
SRV-740044,ENC-97692,2024-01-01,6.2,7.1,6.6,6.3,No
SRV-728749,ENC-14414,2024-02-06,5.5,7.3,5.4,5.7,No
SRV-455570,ENC-10244,2024-04-17,8.8,10.0,8.9,6.6,Yes
SRV-797635,ENC-90994,2024-02-22,6.3,6.0,5.8,9.6,No
SRV-388997,ENC-14892,2024-12-25,7.1,7.0,7.3,8.4,Yes
SRV-890873,ENC-12860,2024-08-25,6.0,4.7,5.9,8.5,No
SRV-270378,ENC-11345,2024-09-16,9.4,10.0,8.1,10.0,Yes
SRV-411068,ENC-11364,2024-07-07,9.4,8.4,10.0,7.4,Yes
SRV-493514,ENC-13972,2024-07-05,6.8,5.5,6.7,7.0,No
SRV-907850,ENC-12564,2024-05-23,9.3,10.0,10.0,10.0,No
SRV-815013,ENC-14417,2024-01-20,9.7,9.9,8.9,10.0,Yes
SRV-785675,ENC-11795,2024-07-23,10.0,10.0,9.8,10.0,Yes
SRV-278933,ENC-11876,2024-02-13,7.2,7.3,8.7,10.0,No
SRV-707127,ENC-12572,2024-05-22,8.7,9.9,9.8,8.0,Yes
SRV-341917,ENC-12433,2024-09-01,10.0,8.9,10.0,10.0,Yes
SRV-595822,ENC-12139,2024-02-04,8.6,8.0,10.0,8.7,No
SRV-625742,ENC-12608,2024-12-18,4.1,3.9,5.7,5.5,Yes
SRV-706236,ENC-14529,2024-11-20,8.4,7.4,8.6,7.0,No
SRV-182279,ENC-14231,2024-05-02,8.0,9.6,7.5,6.4,No
SRV-825382,ENC-10096,2024-09-04,8.6,9.3,8.2,8.9,Yes
SRV-715237,ENC-12077,2024-01-02,6.3,6.5,4.8,5.2,No
SRV-135410,ENC-95317,2024-10-30,7.8,8.6,7.4,6.6,No
SRV-171045,ENC-11702,2024-01-22,4.4,7.0,5.6,5.4,No
SRV-604326,ENC-14562,2024-08-09,7.4,6.1,7.8,6.2,No
SRV-888199,ENC-96040,2024-01-17,9.6,8.9,10.0,9.9,Yes
SRV-427057,ENC-10191,2024-05-07,9.0,9.7,10.0,7.2,Yes
SRV-252254,ENC-10999,2024-10-26,8.0,8.2,7.8,8.0,Yes
SRV-591387,ENC-12345,2024-07-21,9.0,8.4,8.8,8.1,No
SRV-337932,ENC-14303,2024-06-30,7.1,7.8,7.2,7.6,No
SRV-960133,ENC-10570,2024-09-21,1.1,1.4,2.8,3.1,No
SRV-339382,ENC-14109,2024-11-30,2.6,1.3,3.9,3.5,No
SRV-488541,ENC-11555,2024-12-12,6.1,6.9,6.3,6.5,Yes
SRV-119748,ENC-10257,2024-10-19,9.9,9.0,10.0,8.7,Yes
SRV-640103,ENC-10724,2024-06-27,8.9,8.8,9.5,7.8,Yes
SRV-213663,ENC-13753,2024-11-17,1.0,1.9,1.0,1.3,No
SRV-165626,ENC-14683,2024-07-30,3.6,2.5,4.9,4.1,Yes
SRV-617662,ENC-10221,2024-09-18,6.8,5.9,8.1,10.0,Yes
SRV-578798,ENC-10620,2024-04-02,8.2,6.8,8.4,7.8,Yes
SRV-443083,ENC-10043,2024-05-07,5.7,6.4,7.3,3.0,No
SRV-883499,ENC-10912,2024-03-18,5.3,5.6,5.9,4.7,No
SRV-453953,ENC-13762,2024-10-03,5.0,5.8,6.6,4.0,No
SRV-421270,ENC-11724,2024-06-20,8.8,8.8,10.0,8.2,No
SRV-217675,ENC-90404,2024-02-08,8.1,7.8,7.1,6.6,Yes
SRV-456201,ENC-13306,2024-08-15,2.7,1.0,2.4,4.3,No
SRV-213403,ENC-92467,2024-03-18,7.6,8.2,8.6,6.9,Yes
SRV-328364,ENC-13462,2024-03-26,10.0,10.0,10.0,7.7,Yes
SRV-640217,ENC-10179,2024-02-10,9.4,8.8,9.6,10.0,Yes
SRV-675022,ENC-13797,2024-08-20,9.9,10.0,8.9,9.7,Yes
SRV-220935,ENC-10047,2024-06-24,10.0,10.0,10.0,7.5,Yes
SRV-119250,ENC-12419,2024-09-10,9.7,10.0,9.9,10.0,Yes
SRV-920504,ENC-14340,2024-03-07,9.2,8.6,8.1,9.3,Yes
SRV-228832,ENC-13566,2024-04-15,8.1,8.9,8.3,10.0,Yes
SRV-368139,ENC-12001,2024-06-21,7.9,6.2,10.0,5.4,Yes
SRV-381796,ENC-14987,2024-04-01,6.8,6.7,7.8,5.8,No
SRV-723062,ENC-10406,2024-11-07,10.0,9.4,10.0,10.0,Yes
SRV-188335,ENC-10211,2024-04-17,6.5,6.9,7.2,7.7,No
SRV-835237,ENC-11572,2024-06-30,7.7,8.5,8.7,10.0,Yes
SRV-327389,ENC-13884,2024-12-11,6.1,5.9,8.0,3.3,Yes
SRV-945307,ENC-12398,2024-09-26,5.4,6.1,4.8,3.4,No
SRV-662365,ENC-14263,2024-09-19,10.0,10.0,10.0,8.0,Yes
SRV-147334,ENC-12294,2024-05-07,5.2,5.0,5.1,6.3,Yes
SRV-150396,ENC-13289,2024-02-03,7.9,8.5,8.7,8.9,Yes
SRV-147705,ENC-14688,2024-08-22,6.1,6.1,5.2,5.5,No
SRV-847359,ENC-11432,2024-01-07,7.7,6.6,10.0,3.6,No
SRV-201619,ENC-12471,2024-12-14,6.7,4.7,7.9,5.0,Yes
SRV-348172,ENC-98089,2024-12-14,9.4,9.9,9.6,8.2,Yes
SRV-618507,ENC-11501,2024-07-03,4.2,4.1,5.0,2.1,Yes
SRV-188021,ENC-12254,2024-08-19,10.0,9.4,10.0,10.0,Yes
SRV-167998,ENC-10043,2024-05-01,9.0,9.2,8.5,7.1,Yes
SRV-541620,ENC-12162,2024-10-03,5.0,4.2,6.0,1.3,Yes
SRV-803698,ENC-13515,2024-12-09,6.2,6.1,5.1,7.1,Yes
SRV-545371,ENC-13470,2024-11-10,10.0,10.0,10.0,8.5,Yes
SRV-636009,ENC-12747,2024-12-23,7.1,7.1,8.4,7.7,Yes
SRV-512473,ENC-13133,2024-04-15,8.2,9.6,7.8,4.5,Yes
SRV-543228,ENC-10892,2024-07-01,8.4,9.5,10.0,5.5,Yes
SRV-947419,ENC-12204,2024-03-28,10.0,9.6,8.7,10.0,Yes
SRV-202476,ENC-14892,2024-04-21,8.1,8.6,8.6,8.7,Yes
SRV-930920,ENC-10702,2024-03-09,8.5,8.8,10.0,9.2,No
SRV-531913,ENC-11287,2024-07-06,6.0,5.7,6.2,6.8,Yes
SRV-227882,ENC-13803,2024-09-03,6.4,4.8,7.1,6.0,Yes
SRV-700113,ENC-13740,2024-10-17,6.8,7.0,6.7,3.4,No
SRV-652931,ENC-10643,2024-11-05,7.0,6.3,6.0,4.7,No
SRV-592738,ENC-11059,2024-06-14,7.9,10.0,7.9,7.7,No
SRV-137984,ENC-10359,2024-06-27,7.1,7.0,7.2,10.0,No
SRV-507505,ENC-12001,2024-03-14,7.3,7.9,8.3,10.0,Yes
SRV-124521,ENC-12032,2024-07-28,3.8,1.8,6.7,3.3,No
SRV-324084,ENC-14709,2024-11-18,10.0,10.0,10.0,9.4,Yes
SRV-194394,ENC-13671,2024-11-23,10.0,9.0,10.0,10.0,Yes
SRV-700962,ENC-13086,2024-10-20,3.6,4.3,4.3,5.5,No
SRV-264645,ENC-90907,2024-05-04,8.5,7.9,7.5,7.7,No
SRV-499686,ENC-12357,2024-09-25,7.8,7.6,8.8,8.5,Yes
SRV-335369,ENC-13067,2024-10-03,8.0,7.9,7.9,6.8,Yes
SRV-798362,ENC-14399,2024-04-06,7.0,5.3,6.5,7.3,Yes
SRV-382727,ENC-11763,2024-11-08,8.6,8.6,9.5,9.7,Yes
SRV-350104,ENC-13606,2024-10-16,8.2,7.3,6.7,5.9,Yes
SRV-737112,ENC-10843,2024-06-19,8.8,8.6,8.5,10.0,No
SRV-991829,ENC-11511,2024-09-05,5.9,6.9,6.5,6.8,No
SRV-901794,ENC-13036,2024-11-05,10.0,10.0,9.2,10.0,Yes
SRV-860072,ENC-11650,2024-08-22,8.4,8.6,9.5,8.6,No
SRV-596198,ENC-11692,2024-04-19,7.4,7.6,7.3,8.0,No
SRV-745498,ENC-13301,2024-09-26,8.8,8.0,8.6,8.8,Yes
SRV-229871,ENC-10982,2024-08-19,8.3,8.6,10.0,9.9,Yes
SRV-646237,ENC-13443,2024-05-29,6.3,5.8,6.0,5.5,No
SRV-384154,ENC-10566,2024-07-06,3.3,3.0,3.7,4.6,Yes
SRV-808849,ENC-13951,2024-12-12,5.2,4.1,8.9,1.4,No
SRV-632676,ENC-10877,2024-04-15,1.0,1.9,2.2,6.4,Yes
SRV-790400,ENC-12596,2024-11-18,6.0,3.8,6.2,6.2,Yes
SRV-515461,ENC-14437,2024-11-09,7.3,5.9,5.3,10.0,Yes
SRV-408976,ENC-10177,2024-08-18,7.4,7.0,8.1,6.6,Yes
SRV-874862,ENC-92394,2024-02-06,8.3,8.8,8.6,7.7,Yes
SRV-784656,ENC-10846,2024-06-08,8.1,8.8,9.4,9.0,Yes
SRV-760509,ENC-14947,2024-11-04,5.6,4.6,4.7,6.1,Yes
SRV-724477,ENC-13263,2024-07-08,4.2,4.3,3.9,5.9,No
SRV-105051,ENC-11225,2024-11-05,5.5,5.4,6.0,10.0,No
SRV-741784,ENC-12169,2024-02-10,8.4,8.2,8.6,9.4,Yes
SRV-757681,ENC-13027,2024-01-31,7.1,5.7,8.6,10.0,No
SRV-518837,ENC-12951,2024-05-21,6.0,5.8,5.8,2.3,Yes
SRV-273682,ENC-10044,2024-09-26,6.2,8.1,6.5,6.5,Yes
SRV-953194,ENC-13766,2024-03-31,9.5,10.0,9.1,10.0,No
SRV-813876,ENC-14926,2024-03-27,8.7,8.6,9.2,9.3,No
SRV-691131,ENC-10203,2024-11-25,6.7,6.2,6.9,9.0,No
SRV-739403,ENC-10759,2024-03-12,6.6,8.6,6.4,4.8,No
SRV-450720,ENC-11822,2024-04-27,6.2,7.3,9.4,4.6,No
SRV-994963,ENC-13149,2024-02-22,7.7,7.2,9.4,6.9,Yes
SRV-808080,ENC-96182,2024-11-14,8.1,8.3,8.6,6.4,Yes
SRV-260666,ENC-12699,2024-08-31,3.1,3.0,3.8,1.0,No
SRV-466023,ENC-11719,2024-12-09,8.9,9.8,7.8,10.0,No
SRV-439307,ENC-11133,2024-05-24,10.0,9.7,9.6,9.4,Yes
SRV-865814,ENC-10978,2024-08-01,10.0,10.0,10.0,8.9,Yes
SRV-319568,ENC-10112,2024-10-11,8.4,9.4,10.0,10.0,Yes
